theta_gt_deg,theta_recovered_deg,angle_error_deg,inliers,wall_agreement,overlap_ratio,confidence,success
0,-0.620619936411254,0.620619936411254,14,0.7376916868442293,0.8302683236414087,0.6367676298763676,True
3,-3.072521681281248,0.07252168128124792,19,1.0,0.8391581557352854,0.7802453753539424,True
7,-7.057631082912413,0.0576310829124127,12,1.0,0.8435719557195572,0.6694329500821695,True
10,-9.911809050098078,0.08819094990192156,17,1.0,0.8446484444182065,0.7518472981024874,True
15,-14.88496127204859,0.11503872795140957,19,1.0,0.8404569337032882,0.7802453753539424,True
20,-20.05018343655363,0.05018343655363111,21,1.0,0.8531048231128566,0.8067143230122719,True
30,-29.970328837231502,0.029671162768497794,12,1.0,0.8836469652796184,0.6694329500821695,True
45,-45.35364184010034,0.3536418401003374,16,0.22746331236897274,0.9241735341479587,0.4497699646465935,False
60,-59.90315777630017,0.09684222369983075,22,1.0,0.8568812379818698,0.8193212706006459,True
90,nan,nan,0,0.0,0.0,0.0,False
